"","Year","Month","Day","Sentiment","Count","Avg_Per"
"261","2020",4,17,"positive",139740,0.0816758287916667
"262","2020",4,18,"negative",599945,0.409684148833333
"263","2020",4,18,"neutral",717553,0.489628484541667
"264","2020",4,18,"positive",147939,0.100687366583333
"265","2020",4,19,"negative",843780,0.469221789708333
"266","2020",4,19,"neutral",798478,0.444618487791667
"267","2020",4,19,"positive",154989,0.0861597224166667
"268","2020",4,20,"negative",824903,0.459401394916667
"269","2020",4,20,"neutral",828183,0.461646340791667
"270","2020",4,20,"positive",141486,0.0789522642916667
"271","2020",4,21,"negative",217165,0.412373771458333
"272","2020",4,21,"neutral",244061,0.463698452583333
"273","2020",4,21,"positive",64995,0.123927775958333
"274","2020",4,22,"negative",788259,0.449854841416667
"275","2020",4,22,"neutral",807628,0.461369218
"276","2020",4,22,"positive",155783,0.0887759405833333
"277","2020",4,23,"negative",800717,0.427106200958333
"278","2020",4,23,"neutral",897275,0.48495378025
"279","2020",4,23,"positive",162116,0.0879400186666667
"280","2020",4,24,"negative",843035,0.403251102333333
"281","2020",4,24,"neutral",1042233,0.498724185625
"282","2020",4,24,"positive",205650,0.0980247119583333
"283","2020",4,25,"negative",1080125,0.453288949
"284","2020",4,25,"neutral",1111303,0.46942363325
"285","2020",4,25,"positive",182142,0.0772874177916667
"286","2020",4,26,"negative",1127152,0.478205728166667
"287","2020",4,26,"neutral",1053340,0.447673951875
"288","2020",4,26,"positive",173997,0.0741203199166667
"289","2020",4,27,"negative",1075196,0.444920272625
"290","2020",4,27,"neutral",1144061,0.473726414708333
"291","2020",4,27,"positive",195564,0.0813533125416667
"292","2020",4,28,"negative",808979,0.44745009525
"293","2020",4,28,"neutral",842917,0.469637438416667
"294","2020",4,28,"positive",135317,0.0829124662916667
"295","2020",4,29,"negative",618533,0.432531911875
"296","2020",4,29,"neutral",633801,0.467139558958333
"297","2020",4,29,"positive",123804,0.100328529375
"298","2020",4,30,"negative",834683,0.432611110333333
"299","2020",4,30,"neutral",902590,0.471023209625
"300","2020",4,30,"positive",184956,0.096365680125
"301","2020",5,1,"negative",762468,0.407953759791667
"302","2020",5,1,"neutral",933330,0.498552841416667
"303","2020",5,1,"positive",174887,0.0934933985833333
"304","2020",5,2,"negative",843162,0.442198287916667
"305","2020",5,2,"neutral",889655,0.469253459375
"306","2020",5,2,"positive",167662,0.088548252875
"307","2020",5,3,"negative",895659,0.449528294708333
"308","2020",5,3,"neutral",924878,0.466685432125
"309","2020",5,3,"positive",165242,0.08378627325
"310","2020",5,4,"negative",978404,0.460015531083333
"311","2020",5,4,"neutral",974167,0.461620068875
"312","2020",5,4,"positive",164999,0.078364400125
"313","2020",5,5,"negative",518947,0.442629632416667
"314","2020",5,5,"neutral",537830,0.459302850833333
"315","2020",5,5,"positive",115329,0.0980675167916667
"316","2020",5,6,"negative",1048751,0.467136606708333
