"","Month","Date","#OR","#RT","#Total","#Geo","MaxRt","MDRT","MaxLike","MDLike","NA"
"145",1,"2020_01_28_00",6048,21875,27923,7,188067,87,4394,0,"Jan"
"146",1,"2020_01_28_01",6363,24644,31007,9,188083,96,114849,0,"Jan"
"147",1,"2020_01_28_02",6629,27216,33845,5,182248,123,40773,0,"Jan"
"148",1,"2020_01_28_03",6598,29155,35753,4,182228,194,5089,0,"Jan"
"149",1,"2020_01_28_04",6178,27303,33481,7,188107,168,48732,0,"Jan"
"150",1,"2020_01_28_05",5577,24568,30145,14,182228,147,7768,0,"Jan"
"151",1,"2020_01_28_06",5649,23321,28970,9,182247,110,3425,0,"Jan"
"152",1,"2020_01_28_07",5528,21570,27098,13,197836,101,17717,0,"Jan"
"153",1,"2020_01_28_08",6445,21264,27709,11,188169,95,2964,0,"Jan"
"154",1,"2020_01_28_09",6129,24745,30874,2,182244,131,14670,0,"Jan"
"155",1,"2020_01_28_10",5953,24981,30934,7,188201,141,4974,0,"Jan"
"156",1,"2020_01_28_11",6244,26607,32851,4,188208,146,35603,0,"Jan"
"157",1,"2020_01_28_12",6848,26498,33346,5,182177,98,3435,0,"Jan"
"158",1,"2020_01_28_13",7254,27255,34509,4,182231,93,16836,0,"Jan"
"159",1,"2020_01_28_14",7692,27341,35033,8,188246,86,11155,0,"Jan"
"160",1,"2020_01_28_15",7869,26270,34139,5,188274,70,10078,0,"Jan"
"161",1,"2020_01_28_16",8822,26428,35250,6,188295,52,3113,0,"Jan"
"162",1,"2020_01_28_17",8729,25800,34529,5,188303,48,9023,0,"Jan"
"163",1,"2020_01_28_18",8242,24991,33233,5,182204,52,20455,0,"Jan"
"164",1,"2020_01_28_19",7752,22700,30452,4,188306,51,24848,0,"Jan"
"165",1,"2020_01_28_20",7501,20625,28126,7,188309,41,23824,0,"Jan"
"166",1,"2020_01_28_21",7143,20146,27289,13,188305,39,1713,0,"Jan"
"167",1,"2020_01_28_22",7144,21371,28515,7,182208,51,3255,0,"Jan"
"168",1,"2020_01_28_23",9763,31218,40981,8,182253,92,14036,0,"Jan"
"169",1,"2020_01_29_00",10122,34172,44294,22,182196,102,109066,0,"Jan"
"170",1,"2020_01_29_01",16839,54734,71573,11,188639,128,6398,0,"Jan"
"171",1,"2020_01_29_02",15136,53389,68525,18,213669,154,13091,0,"Jan"
"172",1,"2020_01_29_03",15391,52878,68269,9,188625,158,181986,0,"Jan"
"173",1,"2020_01_29_04",13599,49019,62618,17,188668,187,22612,0,"Jan"
"174",1,"2020_01_29_05",15488,55011,70499,22,256422,214,55113,0,"Jan"
"175",1,"2020_01_29_06",13717,47403,61120,22,188676,168,7466,0,"Jan"
"176",1,"2020_01_29_07",15831,51937,67768,17,188692,129,9754,0,"Jan"
"177",1,"2020_01_29_08",16417,48424,64841,15,501345,91,16953,0,"Jan"
"178",1,"2020_01_29_09",13865,45338,59203,10,188654,112,38840,0,"Jan"
"179",1,"2020_01_29_10",15765,49950,65715,18,494260,110,9952,0,"Jan"
